ALCOHOL,TEMP_AMB,TEMP_FAC_MAX,TEMP_FAC_MIN,EYES,LABEL
1.56,28.66,26.93,16.24,8.74643,1
2.02,28.48,26.48,17.98,9.82344,1
1.93,28.87,28.15,15.68,9.19239,1
2.74,28.88,29.37,18.26,10.5119,1
1.97,27.86,27.84,16.69,7.90569,1
1.53,27.97,28.05,16.82,8.7005,1
1.58,28.01,28.34,19.58,9.61769,1
0.77,28.14,29.14,17.35,5.52268,1
1.58,28.22,26.97,17.13,7.64853,1
1.77,28.32,29.11,17.74,9.19239,1
1.53,28.28,27.73,17.13,9.19239,1
1.76,27.13,28.36,14.98,10.7005,1
1.53,27.25,30.58,19.87,9.92472,1
1.49,27.55,28.42,16.2,10.5119,1
1.64,27.63,28.8,17.6,10.7935,1
1.52,27.74,28.18,16.95,10.1242,1
1.78,27.84,28.58,16.93,8.67083,1
1.56,27.9,28.06,17.93,8.63134,1
1.57,27.67,28.35,17.13,10.1242,1
1.81,27.78,29.5,17.22,11.3358,1
1.88,27.86,29.05,14.28,10.9772,1
1.9,27.9,29.3,17.1,8.86001,1
1.64,27.78,28.69,18.12,13.2853,1
2.09,28.11,29.71,16.1,13.5831,1
1.51,28.21,26.91,25.97,11.3358,1
2.11,27.8,27.03,15.61,10.7935,1
1.6,27.6,28.13,16.19,8.63134,1
1.59,27.49,28.78,16.62,11.068,1
1.66,27.19,25.68,16.4,9.92472,1
1.99,27.17,29.61,16.44,10.1242,1
0.81,26.83,26.31,16.08,9.30054,1
1.73,26.51,26.12,14.81,9.19239,1
1.69,26.2,27.92,16.79,9.19239,1
1.89,27.35,29.25,16.91,9.82344,1
1.71,27.51,29.05,27.78,11.068,1
1.91,27.62,26,16.88,11.068,1
2.54,27.69,29.22,18.57,10.6066,1
2.2,27.93,27.49,17.01,9.19239,1
1.79,28.06,28.79,16.52,11.3358,1
2.06,28.26,27.2,16.14,12.5897,1
2.02,28.45,27.37,15.83,12.5897,1
1.93,27.84,29.01,19.07,8.74643,1
1.99,27.86,26.64,16.57,12.3491,1
2.74,27.86,29.58,14.92,5.14789,1
2.73,28.05,27.37,17.11,9.82344,1
2.81,28.17,29.2,15.8,9.61769,1
2.62,28.13,27.36,16.98,9.61769,1
1.82,28.11,29.07,15.41,9.36396,1
1.91,28.14,26.74,15.17,9.61769,1
2.15,27.94,28.38,25.23,9.61769,1
2.45,28.04,27.34,15.1,9.27647,1
2.76,28.21,27.69,15.49,10.7935,1
1.93,28.48,25.82,20.96,10.5119,1
1.93,28.38,26.3,15.89,8.63134,1
1.84,28.38,26.68,20.92,8.74643,1
2.46,28.45,29.47,17.17,9.52268,1
1.95,28.34,28.31,16.7,9.82344,1
3.2,27.49,24.97,14.23,10.9772,1
3.2,27.64,27.54,16.69,12.51,1
4.2,27.84,24.81,15,11.068,1
3.2,28.01,27.34,14.89,9.82344,1
4.05,28.1,27.95,15.55,8.63134,1
3.13,28.19,29.41,17.46,9.5192,1
3.33,28.3,29.36,16.59,8.64853,1
4.42,28.26,27.9,16.53,12.51,1
4.28,28.26,25.81,14.9,8.64853,1
3.49,28.3,27.51,17.13,12.5897,1
3.58,28.4,25.44,17.21,8.63134,1
3.12,28.31,28.41,15.7,10.5119,1
4.55,28.18,27.95,15.08,8.90569,1
0.65,27.91,27.79,15.08,12.51,1
5.09,25.72,29.73,13.94,10.9772,1
2.54,25.76,26.52,15.41,11.068,1
3.15,25.83,26.36,24.52,10.38241,1
4.56,25.81,17.62,15,13.5831,1
3.97,29.14,23.95,14.79,8.52268,1
4.26,26.43,27.38,15.63,11.068,1
5.66,27.18,29.84,16.33,9.82567,1
4.41,27.62,29.52,15.04,10.5119,1
3.76,27.74,29.06,14.99,10.1242,1
5.44,27.89,27.35,14.65,12.3491,1
4.15,27.9,26.4,15.03,8.90569,1
4.91,27.83,29.56,14.65,13.5831,1
3.96,27.85,27.73,21.31,9.51315,1
2.19,27.98,27.39,17,11.36396,1
3.67,27.96,29.32,14.35,10.5119,1
4,27.51,26.32,14.69,10.1242,1
4.08,27.58,26.53,16.41,9.82344,1
3.42,27.77,27.26,17.78,9.92472,1
3.94,27.72,25.27,12.87,9.51315,1
0.6,27.84,26.24,15.32,12.5897,1
1.68,27.93,26.72,16.39,8.63134,1
3.58,27.39,28.17,12.54,10.5119,1
1.98,26.43,28.98,16.65,9.30064,1
2.12,25.82,28.17,14.67,9.30054,1
2.67,26.54,29.76,19.26,10.1242,1
1.98,26.41,29.46,17.59,10.1342,1
0.55,27.39,29.8,16.8,10.1242,1
1.76,24.78,26.05,14.84,8.04152,1
0.62,26.32,28.06,14.84,8.63134,1
1.85,25.87,28.54,14.77,8.6485,1
1.73,24.98,28.02,17.05,8.70088,1
1.67,27.46,28.18,16.09,8.70088,1
1.75,25.65,28.33,15.68,8.53553,1
1.97,27.12,28.59,13.26,9.04152,1
1.76,24.87,27.16,12.66,8.53553,1
1.69,26.43,27.58,11.92,12.1037,1
1.85,26.74,27.69,11.22,8.53553,1
1.76,26.34,28.4,11.43,9.6485,1
1.79,26.54,29.6,17.12,9.63134,1
1.78,26.45,27.4,11.43,8.6485,1
2.14,24.98,27.6,11.92,12.1037,1
1.79,26.54,28.8,13.33,8.53553,1
2.11,25.87,28.06,12.99,9.82344,1
2.24,24.91,28.31,12.52,9.61769,1
2.12,25.89,29.17,18.17,8.04152,1
2.25,26.34,28.52,13.59,8.63134,1
2.15,24.93,28.36,12.43,8.53553,1
2.01,24.95,28.67,18.08,8.53553,1
1.9,26.56,28.75,16.89,8.52268,1
1.87,24.92,28.77,15.05,8.53553,1
1.76,25.83,28.01,9,8.52268,1
1.92,26.43,25.8,10.7,8.53553,1
1.73,25.89,25.24,11.02,12.1037,1
1.99,26.34,28.47,11.11,8.53553,1
1.84,26.45,28.94,13.59,8.65083,1
1.76,26.32,28.88,10.14,8.63134,1
2.36,26.45,28.81,10.79,8.74643,1
1.98,26.34,29.42,12.82,9.19239,1
2.24,26.32,28.32,10.89,8.04152,1
2.16,26.45,29.57,12.77,9.82344,1
2.24,27.12,28.82,12.58,9.61769,1
2.33,27.43,27,12.42,8.04152,1
2.26,25.89,27.86,12.74,8.63134,1
2.31,25.89,28.17,11.97,8.04152,1
2.23,26.45,27.69,17.47,8.04152,1
1.75,27.32,27.76,17.2,8.04152,1
1.84,25.78,27.33,13.8,8.53553,1
0.55,25.78,27.84,8.11,8.04152,1
1.89,26.75,28.24,8.57,8.04152,1
2.57,26.54,28.64,10.13,12.1037,1
2.34,25.89,28.9,11.38,8.04152,1
3.11,25.89,29.36,12.56,8.04152,1
2.36,26.55,28.43,10.08,8.63134,1
2.32,26.66,28.17,11.5,6.04152,1
1.98,26.67,28.8,11.52,5.04152,1
2.63,27.23,28.08,12.26,8.53553,1
1.98,28.01,28.64,11.75,9.82344,1
0.58,26.56,28.7,12.2,9.61769,1
